s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.8120000E+003, 1.7100038E+002, 8.9999998E-001, 3.8920698E-015, 9.1775329E-014, 7.5088844E-002
 1.8240000E+003, 1.7200038E+002, 8.9999998E-001, 1.2271182E-015, 1.2633563E-013, 7.5088821E-002
 1.8360000E+003, 1.7300038E+002, 8.9999998E-001, 3.7701722E-016, 1.7366149E-013, 7.5088821E-002
 1.8480000E+003, 1.7400038E+002, 8.9999998E-001, 1.2052551E-016, 2.3837632E-013, 7.5088792E-002
 1.8600000E+003, 1.7500038E+002, 8.9999998E-001, 5.0362508E-017, 3.2674495E-013, 7.5088821E-002
 1.8720000E+003, 1.7600038E+002, 8.9999998E-001, 3.7274151E-017, 4.4724429E-013, 7.5088821E-002
 1.8840000E+003, 1.7700038E+002, 8.9999998E-001, 4.2643510E-017, 6.1132902E-013, 7.5088821E-002
 1.8960000E+003, 1.7800038E+002, 8.9999998E-001, 5.6137876E-017, 8.3445609E-013, 7.5088851E-002
 1.9080000E+003, 1.7900038E+002, 8.9999998E-001, 7.6032788E-017, 1.1374551E-012, 7.5088769E-002
 1.9200000E+003, 1.8000038E+002, 8.9999998E-001, 1.0338991E-016, 1.5483577E-012, 7.5088806E-002
 1.9320000E+003, 1.8100038E+002, 8.9999998E-001, 1.4052506E-016, 2.1048371E-012, 7.5088821E-002
 1.9440000E+003, 1.8200038E+002, 8.9999998E-001, 1.9076753E-016, 2.8574571E-012, 7.5088799E-002
 1.9560000E+003, 1.8300038E+002, 8.9999998E-001, 2.5863193E-016, 3.8739931E-012, 7.5088821E-002
 1.9680000E+003, 1.8400038E+002, 8.9999998E-001, 3.5017313E-016, 5.2451719E-012, 7.5088806E-002
 1.9800000E+003, 1.8500038E+002, 8.9999998E-001, 4.7348819E-016, 7.0922834E-012, 7.5088792E-002
 1.9920000E+003, 1.8600038E+002, 8.9999998E-001, 6.3938848E-016, 9.5772695E-012, 7.5088806E-002
 2.0040000E+003, 1.8700038E+002, 8.9999998E-001, 8.6229013E-016, 1.2916068E-011, 7.5088799E-002
 2.0160000E+003, 1.8800038E+002, 8.9999998E-001, 1.1613916E-015, 1.7396249E-011, 7.5088814E-002
 2.0280000E+003, 1.8900038E+002, 8.9999998E-001, 1.5622278E-015, 2.3400292E-011, 7.5088806E-002
 2.0400000E+003, 1.9000038E+002, 8.9999998E-001, 2.0987173E-015, 3.1436260E-011, 7.5088806E-002
 2.0520000E+003, 1.9100038E+002, 8.9999998E-001, 2.8158600E-015, 4.2178195E-011, 7.5088836E-002
 2.0640000E+003, 1.9200038E+002, 8.9999998E-001, 3.7732823E-015, 5.6519230E-011, 7.5088792E-002
 2.0760000E+003, 1.9300038E+002, 8.9999998E-001, 5.0498935E-015, 7.5641327E-011, 7.5088829E-002
 2.0880000E+003, 1.9400038E+002, 8.9999998E-001, 6.7499920E-015, 1.0110676E-010, 7.5088829E-002
 2.1000000E+003, 1.9500038E+002, 8.9999998E-001, 9.0112684E-015, 1.3497796E-010, 7.5088806E-002
 2.1120000E+003, 1.9600038E+002, 8.9999998E-001, 1.2015273E-014, 1.7997434E-010, 7.5088799E-002
 2.1240000E+003, 1.9700038E+002, 8.9999998E-001, 1.6001101E-014, 2.3967725E-010, 7.5088821E-002
 2.1360000E+003, 1.9800038E+002, 8.9999998E-001, 2.1283249E-014, 3.1879746E-010, 7.5088814E-002
 2.1480000E+003, 1.9900038E+002, 8.9999998E-001, 2.8274908E-014, 4.2352410E-010, 7.5088806E-002
 2.1600000E+003, 2.0000038E+002, 8.9999998E-001, 3.7518291E-014, 5.6197885E-010, 7.5088821E-002
 2.1720000E+003, 2.0100038E+002, 8.9999998E-001, 4.9724073E-014, 7.4480683E-010, 7.5088829E-002
 2.1840000E+003, 2.0200038E+002, 8.9999998E-001, 6.5822673E-014, 9.8594444E-010, 7.5088799E-002
 2.1960000E+003, 2.0300038E+002, 8.9999998E-001, 8.7030731E-014, 1.3036157E-009, 7.5088806E-002
 2.2080000E+003, 2.0400038E+002, 8.9999998E-001, 1.1493740E-013, 1.7216240E-009, 7.5088806E-002
 2.2200000E+003, 2.0500038E+002, 8.9999998E-001, 1.5161593E-013, 2.2710243E-009, 7.5088836E-002
 2.2320000E+003, 2.0600038E+002, 8.9999998E-001, 1.9976815E-013, 2.9922866E-009, 7.5088836E-002
 2.2440000E+003, 2.0700038E+002, 8.9999998E-001, 2.6291100E-013, 3.9380903E-009, 7.5088829E-002
 2.2560000E+003, 2.0800038E+002, 8.9999998E-001, 3.4561725E-013, 5.1769304E-009, 7.5088859E-002
 2.2680000E+003, 2.0900038E+002, 8.9999998E-001, 4.5382594E-013, 6.7977668E-009, 7.5088777E-002
 2.2800000E+003, 2.1000038E+002, 8.9999998E-001, 5.9524201E-013, 8.9160093E-009, 7.5088792E-002
 2.2920000E+003, 2.1100038E+002, 8.9999998E-001, 7.7985020E-013, 1.1681217E-008, 7.5088836E-002
 2.3040000E+003, 2.1200038E+002, 8.9999998E-001, 1.0205756E-012, 1.5286993E-008, 7.5088844E-002
 2.3160000E+003, 2.1300038E+002, 8.9999998E-001, 1.3341309E-012, 1.9983677E-008, 7.5088806E-002
 2.3280000E+003, 2.1400038E+002, 8.9999998E-001, 1.7421040E-012, 2.6094622E-008, 7.5088769E-002
 2.3400000E+003, 2.1500038E+002, 8.9999998E-001, 2.2723485E-012, 3.4037047E-008, 7.5088821E-002
 2.3520000E+003, 2.1600038E+002, 8.9999998E-001, 2.9607653E-012, 4.4348702E-008, 7.5088874E-002
 2.3640000E+003, 2.1700038E+002, 8.9999998E-001, 3.8535772E-012, 5.7721948E-008, 7.5088814E-002
 2.3760000E+003, 2.1800038E+002, 8.9999998E-001, 5.0102340E-012, 7.5047282E-008, 7.5088844E-002
 2.3880000E+003, 2.1900038E+002, 8.9999998E-001, 6.5071191E-012, 9.7468813E-008, 7.5088836E-002
 2.4000000E+003, 2.2000038E+002, 8.9999998E-001, 8.4422669E-012, 1.2645499E-007, 7.5088814E-002
 2.4120000E+003, 2.2100038E+002, 8.9999998E-001, 1.0941370E-011, 1.6388856E-007, 7.5088806E-002
 2.4240000E+003, 2.2200038E+002, 8.9999998E-001, 1.4165422E-011, 2.1218098E-007, 7.5088829E-002
 2.4360000E+003, 2.2300038E+002, 8.9999998E-001, 1.8320411E-011, 2.7441772E-007, 7.5088844E-002
